record_set	verification_page	genbank_download_url	cross_check_page
pFA6a-kanMX6	https://www.novoprolabs.com/vector/V10292	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6.gb	https://www.addgene.org/39296/
pFA6a-GFP-S65T-kanMX6	https://www.novoprolabs.com/vector/V10307	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GFP-S65T-kanMX6.gb	https://www.addgene.org/39292/
pFA6a-kanMX6-PGAL1-GFP	https://www.novoprolabs.com/vector/V10295	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6-PGAL1-GFP.gb	https://www.addgene.org/41605/
pFA6a-3HA-kanMX6	https://www.novoprolabs.com/vector/V10312	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-kanMX6.gb	https://www.addgene.org/39295/
pFA6a-13Myc-kanMX6	https://www.novoprolabs.com/vector/V10315	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-13Myc-kanMX6.gb	https://www.addgene.org/39294/
pFA6a-5FLAG-kanMX6	https://www.novoprolabs.com/vector/V10310	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-5FLAG-kanMX6.gb	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-5FLAG-kanMX6
pFA6a-GST-kanMX6	https://www.novoprolabs.com/vector/V10304	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GST-kanMX6.gb	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-GST-kanMX6
